"seq","service","name","method","url","status","statusCode","durationMs","correlationId","message","responseExcerpt"
"1","auth-service","Auth register","POST","http://localhost:8081/api/auth/register","FAIL",,"63","uat-20260604-233924-001","The underlying connection was closed: The connection was closed unexpectedly.",""
"2","auth-service","Auth login","POST","http://localhost:8081/api/auth/login","FAIL",,"22","uat-20260604-233924-002","The underlying connection was closed: The connection was closed unexpectedly.",""
"3","auth-service","Auth refresh","POST","http://localhost:8081/api/auth/refresh","FAIL",,"16","uat-20260604-233924-003","The underlying connection was closed: The connection was closed unexpectedly.",""
"4","auth-service","CRBT provision","POST","http://localhost:8081/internal/crbt/provision","FAIL",,"17","uat-20260604-233924-004","The underlying connection was closed: The connection was closed unexpectedly.",""
"5","auth-service","CRBT user credit","GET","http://localhost:8081/internal/crbt/user-credit/84960000999","FAIL",,"23","uat-20260604-233924-005","The underlying connection was closed: The connection was closed unexpectedly.",""
"6","payment-gateway-service","Payment charge","POST","http://localhost:8085/api/payments/charge","SKIP",,"0","","Missing userId dependency",""
"7","payment-gateway-service","Payment idempotency lookup","GET","http://localhost:8085/api/payments/idempotency/uat-20260604-233924-payment","FAIL",,"23","uat-20260604-233924-007","The underlying connection was closed: The connection was closed unexpectedly.",""
"8","credit-wallet-service","Wallet internal balance","GET","http://localhost:8086/api/wallet/internal//balance","SKIP",,"0","","Missing userId dependency",""
"9","credit-wallet-service","Wallet add","POST","http://localhost:8086/api/wallet//add","SKIP",,"0","","Missing userId dependency",""
"10","credit-wallet-service","Wallet deduct","POST","http://localhost:8086/api/wallet//deduct","SKIP",,"0","","Missing userId dependency",""
"11","credit-wallet-service","Wallet me","GET","http://localhost:8086/api/wallet/me","SKIP",,"0","","Missing userId dependency",""
"12","crbt-campaign-service","Campaign create","POST","http://localhost:8090/campaigns","SKIP",,"0","","Missing userId dependency",""
"13","crbt-campaign-service","Campaign active list","GET","http://localhost:8090/campaigns/active","FAIL",,"14","uat-20260604-233924-013","The underlying connection was closed: The connection was closed unexpectedly.",""
"14","crbt-campaign-service","Campaign subscribe","POST","http://localhost:8090/campaigns/subscribe","SKIP",,"0","","Missing packageId dependency",""
"15","crbt-campaign-service","Campaign generate","POST","http://localhost:8090/campaigns/generate?genre=Pop&mood=Happy","SKIP",,"0","","Missing userId dependency",""
"16","crbt-community-library","Create category","POST","http://localhost:8091/library/categories","FAIL",,"10","uat-20260604-233924-016","The underlying connection was closed: The connection was closed unexpectedly.",""
"17","crbt-community-library","List categories","GET","http://localhost:8091/library/categories","FAIL",,"15","uat-20260604-233924-017","The underlying connection was closed: The connection was closed unexpectedly.",""
"18","crbt-community-library","Update category","PUT","http://localhost:8091/library/categories/{id}","SKIP",,"0","","Missing categoryId dependency",""
